Category,Setting,Diagnosis,Date,Count
cancer,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-04-01,1
cancer,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-05-01,1
cancer,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-06-01,1
cancer,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-07-01,1
cancer,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-08-01,1
cancer,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-10-01,1
cancer,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-11-01,2
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-01-01,1
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-02-01,2
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-03-01,2
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-04-01,2
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-05-01,2
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-06-01,1
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-08-01,1
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-09-01,1
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-11-01,2
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-12-01,3
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-01-01,3
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-02-01,5
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-03-01,4
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-04-01,3
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-05-01,3
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-06-01,2
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-07-01,4
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-08-01,1
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-09-01,1
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-10-01,3
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-11-01,3
cardiac arrest,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-12-01,3
chronic obstructive pulmonary disease (copd),ambulatory surgery,Secondary (COVID-19 Not Primary),2020-02-01,1
chronic obstructive pulmonary disease (copd),ambulatory surgery,Secondary (COVID-19 Not Primary),2020-03-01,2
chronic obstructive pulmonary disease (copd),ambulatory surgery,Secondary (COVID-19 Not Primary),2020-04-01,1
chronic obstructive pulmonary disease (copd),ambulatory surgery,Secondary (COVID-19 Not Primary),2020-08-01,1
chronic obstructive pulmonary disease (copd),ambulatory surgery,Secondary (COVID-19 Not Primary),2020-10-01,1
chronic obstructive pulmonary disease (copd),ambulatory surgery,Secondary (COVID-19 Not Primary),2020-11-01,3
chronic obstructive pulmonary disease (copd),ambulatory surgery,Secondary (COVID-19 Not Primary),2020-12-01,3
chronic obstructive pulmonary disease (copd),ambulatory surgery,Secondary (COVID-19 Not Primary),2021-02-01,1
chronic obstructive pulmonary disease (copd),ambulatory surgery,Secondary (COVID-19 Not Primary),2021-04-01,1
chronic obstructive pulmonary disease (copd),ambulatory surgery,Secondary (COVID-19 Not Primary),2021-08-01,1
chronic obstructive pulmonary disease (copd),ambulatory surgery,Secondary (COVID-19 Not Primary),2021-09-01,1
chronic obstructive pulmonary disease (copd),ambulatory surgery,Secondary (COVID-19 Not Primary),2021-10-01,1
chronic obstructive pulmonary disease (copd),ambulatory surgery,Secondary (COVID-19 Not Primary),2021-12-01,1
depression,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-02-01,1
depression,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-04-01,2
depression,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-01-01,1
depression,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-02-01,1
depression,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-07-01,1
depression,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-08-01,1
depression,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-12-01,1
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-01-01,1
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-02-01,2
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-03-01,3
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-04-01,3
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-05-01,2
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-06-01,2
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-07-01,3
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-08-01,2
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-10-01,1
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-11-01,1
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-12-01,3
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-01-01,1
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-02-01,5
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-03-01,5
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-04-01,3
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-05-01,4
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-06-01,2
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-08-01,4
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-10-01,3
diabetes,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-12-01,2
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-01-01,2
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-02-01,1
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-03-01,9
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-04-01,5
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-05-01,2
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-06-01,3
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-07-01,4
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-08-01,2
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-09-01,3
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-10-01,6
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-11-01,7
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-12-01,5
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-01-01,3
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-02-01,7
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-03-01,6
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-04-01,4
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-05-01,5
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-06-01,5
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-07-01,3
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-08-01,3
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-09-01,1
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-10-01,4
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-11-01,5
hypertension,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-12-01,8
mood disorders (excluding depression),ambulatory surgery,Secondary (COVID-19 Not Primary),2020-12-01,1
mood disorders (excluding depression),ambulatory surgery,Secondary (COVID-19 Not Primary),2021-06-01,1
non-mood psychotic disorders,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-03-01,1
non-mood psychotic disorders,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-07-01,1
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-01-01,1
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-02-01,1
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-03-01,2
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-05-01,1
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-06-01,2
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-07-01,2
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-10-01,1
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-12-01,1
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-01-01,1
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-02-01,3
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-04-01,1
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-05-01,2
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-06-01,2
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-07-01,2
obesity,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-10-01,3
pneumonia,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-04-01,1
pneumonia,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-06-01,1
pneumonia,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-01-01,2
pneumonia,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-02-01,2
pneumonia,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-06-01,2
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-01-01,1
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-02-01,1
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-03-01,1
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-04-01,4
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-07-01,1
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-08-01,1
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-10-01,3
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-12-01,2
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-01-01,3
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-02-01,1
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-03-01,3
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-04-01,1
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-05-01,2
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-06-01,2
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-07-01,2
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-08-01,1
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-09-01,1
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-10-01,3
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-11-01,2
respiratory arrest/failure,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-12-01,2
sepsis,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-01-01,1
sepsis,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-04-01,1
sepsis,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-07-01,1
sepsis,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-12-01,1
sepsis,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-02-01,2
sepsis,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-07-01,1
sepsis,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-08-01,1
sepsis,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-09-01,1
sepsis,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-12-01,1
substance use disorders,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-08-01,1
substance use disorders,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-10-01,1
substance use disorders,ambulatory surgery,Secondary (COVID-19 Not Primary),2020-11-01,1
substance use disorders,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-02-01,3
substance use disorders,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-04-01,2
substance use disorders,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-05-01,1
substance use disorders,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-06-01,2
substance use disorders,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-11-01,1
substance use disorders,ambulatory surgery,Secondary (COVID-19 Not Primary),2021-12-01,1
anxiety,emergency dept,Primary,2020-01-01,1
anxiety,emergency dept,Primary,2020-08-01,1
anxiety,emergency dept,Primary,2021-05-01,1
anxiety,emergency dept,Primary,2021-07-01,1
asthma,emergency dept,Primary,2020-01-01,1
asthma,emergency dept,Primary,2020-07-01,1
asthma,emergency dept,Primary,2020-11-01,1
asthma,emergency dept,Primary,2021-01-01,2
asthma,emergency dept,Primary,2021-12-01,1
cancer,emergency dept,Primary,2020-01-01,13
cancer,emergency dept,Primary,2020-02-01,14
cancer,emergency dept,Primary,2020-03-01,16
cancer,emergency dept,Primary,2020-04-01,3
cancer,emergency dept,Primary,2020-05-01,7
cancer,emergency dept,Primary,2020-06-01,10
cancer,emergency dept,Primary,2020-07-01,10
cancer,emergency dept,Primary,2020-08-01,12
cancer,emergency dept,Primary,2020-09-01,7
cancer,emergency dept,Primary,2020-10-01,10
cancer,emergency dept,Primary,2020-11-01,8
cancer,emergency dept,Primary,2020-12-01,20
cancer,emergency dept,Primary,2021-01-01,16
cancer,emergency dept,Primary,2021-02-01,12
cancer,emergency dept,Primary,2021-03-01,8
cancer,emergency dept,Primary,2021-04-01,13
cancer,emergency dept,Primary,2021-05-01,12
cancer,emergency dept,Primary,2021-06-01,10
cancer,emergency dept,Primary,2021-07-01,15
cancer,emergency dept,Primary,2021-08-01,22
cancer,emergency dept,Primary,2021-09-01,9
cancer,emergency dept,Primary,2021-10-01,17
cancer,emergency dept,Primary,2021-11-01,11
cancer,emergency dept,Primary,2021-12-01,15
cardiac arrest,emergency dept,Primary,2020-01-01,1081
cardiac arrest,emergency dept,Primary,2020-02-01,925
cardiac arrest,emergency dept,Primary,2020-03-01,999
cardiac arrest,emergency dept,Primary,2020-04-01,956
cardiac arrest,emergency dept,Primary,2020-05-01,987
cardiac arrest,emergency dept,Primary,2020-06-01,932
cardiac arrest,emergency dept,Primary,2020-07-01,1140
cardiac arrest,emergency dept,Primary,2020-08-01,1068
cardiac arrest,emergency dept,Primary,2020-09-01,933
cardiac arrest,emergency dept,Primary,2020-10-01,979
cardiac arrest,emergency dept,Primary,2020-11-01,1036
cardiac arrest,emergency dept,Primary,2020-12-01,1466
cardiac arrest,emergency dept,Primary,2021-01-01,1412
cardiac arrest,emergency dept,Primary,2021-02-01,1035
cardiac arrest,emergency dept,Primary,2021-03-01,1017
cardiac arrest,emergency dept,Primary,2021-04-01,897
cardiac arrest,emergency dept,Primary,2021-05-01,831
cardiac arrest,emergency dept,Primary,2021-06-01,870
cardiac arrest,emergency dept,Primary,2021-07-01,870
cardiac arrest,emergency dept,Primary,2021-08-01,1005
cardiac arrest,emergency dept,Primary,2021-09-01,920
cardiac arrest,emergency dept,Primary,2021-10-01,992
cardiac arrest,emergency dept,Primary,2021-11-01,941
cardiac arrest,emergency dept,Primary,2021-12-01,1087
chronic obstructive pulmonary disease (copd),emergency dept,Primary,2020-02-01,1
chronic obstructive pulmonary disease (copd),emergency dept,Primary,2020-03-01,2
chronic obstructive pulmonary disease (copd),emergency dept,Primary,2020-05-01,1
chronic obstructive pulmonary disease (copd),emergency dept,Primary,2020-06-01,1
chronic obstructive pulmonary disease (copd),emergency dept,Primary,2020-10-01,1
chronic obstructive pulmonary disease (copd),emergency dept,Primary,2020-12-01,1
chronic obstructive pulmonary disease (copd),emergency dept,Primary,2021-03-01,1
chronic obstructive pulmonary disease (copd),emergency dept,Primary,2021-05-01,2
covid-19,emergency dept,Primary,2020-04-01,41
covid-19,emergency dept,Primary,2020-05-01,23
covid-19,emergency dept,Primary,2020-06-01,34
covid-19,emergency dept,Primary,2020-07-01,68
covid-19,emergency dept,Primary,2020-08-01,51
covid-19,emergency dept,Primary,2020-09-01,29
covid-19,emergency dept,Primary,2020-10-01,20
covid-19,emergency dept,Primary,2020-11-01,53
covid-19,emergency dept,Primary,2020-12-01,300
covid-19,emergency dept,Primary,2021-01-01,259
covid-19,emergency dept,Primary,2021-02-01,53
covid-19,emergency dept,Primary,2021-03-01,24
covid-19,emergency dept,Primary,2021-04-01,11
covid-19,emergency dept,Primary,2021-05-01,3
covid-19,emergency dept,Primary,2021-06-01,8
covid-19,emergency dept,Primary,2021-07-01,15
covid-19,emergency dept,Primary,2021-08-01,51
covid-19,emergency dept,Primary,2021-09-01,40
covid-19,emergency dept,Primary,2021-10-01,33
covid-19,emergency dept,Primary,2021-11-01,36
covid-19,emergency dept,Primary,2021-12-01,29
depression,emergency dept,Primary,2020-05-01,1
depression,emergency dept,Primary,2020-10-01,1
depression,emergency dept,Primary,2020-11-01,1
diabetes,emergency dept,Primary,2020-01-01,5
diabetes,emergency dept,Primary,2020-02-01,1
diabetes,emergency dept,Primary,2020-03-01,3
diabetes,emergency dept,Primary,2020-04-01,2
diabetes,emergency dept,Primary,2020-05-01,6
diabetes,emergency dept,Primary,2020-06-01,2
diabetes,emergency dept,Primary,2020-07-01,5
diabetes,emergency dept,Primary,2020-08-01,4
diabetes,emergency dept,Primary,2020-09-01,4
diabetes,emergency dept,Primary,2020-10-01,2
diabetes,emergency dept,Primary,2020-11-01,6
diabetes,emergency dept,Primary,2020-12-01,5
diabetes,emergency dept,Primary,2021-01-01,4
diabetes,emergency dept,Primary,2021-02-01,5
diabetes,emergency dept,Primary,2021-03-01,2
diabetes,emergency dept,Primary,2021-04-01,2
diabetes,emergency dept,Primary,2021-05-01,3
diabetes,emergency dept,Primary,2021-06-01,1
diabetes,emergency dept,Primary,2021-07-01,4
diabetes,emergency dept,Primary,2021-08-01,2
diabetes,emergency dept,Primary,2021-09-01,1
diabetes,emergency dept,Primary,2021-10-01,7
diabetes,emergency dept,Primary,2021-11-01,3
diabetes,emergency dept,Primary,2021-12-01,4
hypertension,emergency dept,Primary,2020-01-01,7
hypertension,emergency dept,Primary,2020-02-01,7
hypertension,emergency dept,Primary,2020-03-01,3
hypertension,emergency dept,Primary,2020-04-01,10
hypertension,emergency dept,Primary,2020-05-01,12
hypertension,emergency dept,Primary,2020-06-01,7
hypertension,emergency dept,Primary,2020-07-01,7
hypertension,emergency dept,Primary,2020-08-01,10
hypertension,emergency dept,Primary,2020-09-01,6
hypertension,emergency dept,Primary,2020-10-01,7
hypertension,emergency dept,Primary,2020-11-01,6
hypertension,emergency dept,Primary,2020-12-01,11
hypertension,emergency dept,Primary,2021-01-01,15
hypertension,emergency dept,Primary,2021-02-01,10
hypertension,emergency dept,Primary,2021-03-01,8
hypertension,emergency dept,Primary,2021-04-01,2
hypertension,emergency dept,Primary,2021-05-01,8
hypertension,emergency dept,Primary,2021-06-01,6
hypertension,emergency dept,Primary,2021-07-01,4
hypertension,emergency dept,Primary,2021-08-01,5
hypertension,emergency dept,Primary,2021-09-01,6
hypertension,emergency dept,Primary,2021-10-01,5
hypertension,emergency dept,Primary,2021-11-01,6
hypertension,emergency dept,Primary,2021-12-01,11
non-mood psychotic disorders,emergency dept,Primary,2020-07-01,1
non-mood psychotic disorders,emergency dept,Primary,2021-01-01,1
non-mood psychotic disorders,emergency dept,Primary,2021-02-01,1
pneumonia,emergency dept,Primary,2020-01-01,12
pneumonia,emergency dept,Primary,2020-02-01,11
pneumonia,emergency dept,Primary,2020-03-01,23
pneumonia,emergency dept,Primary,2020-04-01,17
pneumonia,emergency dept,Primary,2020-05-01,15
pneumonia,emergency dept,Primary,2020-06-01,14
pneumonia,emergency dept,Primary,2020-07-01,10
pneumonia,emergency dept,Primary,2020-08-01,11
pneumonia,emergency dept,Primary,2020-09-01,5
pneumonia,emergency dept,Primary,2020-10-01,3
pneumonia,emergency dept,Primary,2020-11-01,13
pneumonia,emergency dept,Primary,2020-12-01,19
pneumonia,emergency dept,Primary,2021-01-01,15
pneumonia,emergency dept,Primary,2021-02-01,13
pneumonia,emergency dept,Primary,2021-03-01,11
pneumonia,emergency dept,Primary,2021-04-01,5
pneumonia,emergency dept,Primary,2021-05-01,10
pneumonia,emergency dept,Primary,2021-06-01,8
pneumonia,emergency dept,Primary,2021-07-01,14
pneumonia,emergency dept,Primary,2021-08-01,8
pneumonia,emergency dept,Primary,2021-09-01,9
pneumonia,emergency dept,Primary,2021-10-01,12
pneumonia,emergency dept,Primary,2021-11-01,9
pneumonia,emergency dept,Primary,2021-12-01,10
respiratory arrest/failure,emergency dept,Primary,2020-01-01,66
respiratory arrest/failure,emergency dept,Primary,2020-02-01,59
respiratory arrest/failure,emergency dept,Primary,2020-03-01,86
respiratory arrest/failure,emergency dept,Primary,2020-04-01,79
respiratory arrest/failure,emergency dept,Primary,2020-05-01,76
respiratory arrest/failure,emergency dept,Primary,2020-06-01,54
respiratory arrest/failure,emergency dept,Primary,2020-07-01,62
respiratory arrest/failure,emergency dept,Primary,2020-08-01,76
respiratory arrest/failure,emergency dept,Primary,2020-09-01,68
respiratory arrest/failure,emergency dept,Primary,2020-10-01,67
respiratory arrest/failure,emergency dept,Primary,2020-11-01,86
respiratory arrest/failure,emergency dept,Primary,2020-12-01,116
respiratory arrest/failure,emergency dept,Primary,2021-01-01,100
respiratory arrest/failure,emergency dept,Primary,2021-02-01,69
respiratory arrest/failure,emergency dept,Primary,2021-03-01,68
respiratory arrest/failure,emergency dept,Primary,2021-04-01,40
respiratory arrest/failure,emergency dept,Primary,2021-05-01,50
respiratory arrest/failure,emergency dept,Primary,2021-06-01,55
respiratory arrest/failure,emergency dept,Primary,2021-07-01,71
respiratory arrest/failure,emergency dept,Primary,2021-08-01,59
respiratory arrest/failure,emergency dept,Primary,2021-09-01,62
respiratory arrest/failure,emergency dept,Primary,2021-10-01,63
respiratory arrest/failure,emergency dept,Primary,2021-11-01,74
respiratory arrest/failure,emergency dept,Primary,2021-12-01,68
sepsis,emergency dept,Primary,2020-01-01,87
sepsis,emergency dept,Primary,2020-02-01,64
sepsis,emergency dept,Primary,2020-03-01,92
sepsis,emergency dept,Primary,2020-04-01,100
sepsis,emergency dept,Primary,2020-05-01,70
sepsis,emergency dept,Primary,2020-06-01,79
sepsis,emergency dept,Primary,2020-07-01,102
sepsis,emergency dept,Primary,2020-08-01,77
sepsis,emergency dept,Primary,2020-09-01,57
sepsis,emergency dept,Primary,2020-10-01,60
sepsis,emergency dept,Primary,2020-11-01,80
sepsis,emergency dept,Primary,2020-12-01,174
sepsis,emergency dept,Primary,2021-01-01,127
sepsis,emergency dept,Primary,2021-02-01,92
sepsis,emergency dept,Primary,2021-03-01,58
sepsis,emergency dept,Primary,2021-04-01,65
sepsis,emergency dept,Primary,2021-05-01,59
sepsis,emergency dept,Primary,2021-06-01,44
sepsis,emergency dept,Primary,2021-07-01,68
sepsis,emergency dept,Primary,2021-08-01,74
sepsis,emergency dept,Primary,2021-09-01,75
sepsis,emergency dept,Primary,2021-10-01,79
sepsis,emergency dept,Primary,2021-11-01,78
sepsis,emergency dept,Primary,2021-12-01,79
stroke,emergency dept,Primary,2020-01-01,5
stroke,emergency dept,Primary,2020-02-01,3
stroke,emergency dept,Primary,2020-03-01,5
stroke,emergency dept,Primary,2020-04-01,8
stroke,emergency dept,Primary,2020-05-01,7
stroke,emergency dept,Primary,2020-06-01,5
stroke,emergency dept,Primary,2020-07-01,7
stroke,emergency dept,Primary,2020-08-01,5
stroke,emergency dept,Primary,2020-09-01,3
stroke,emergency dept,Primary,2020-10-01,4
stroke,emergency dept,Primary,2020-11-01,7
stroke,emergency dept,Primary,2020-12-01,8
stroke,emergency dept,Primary,2021-01-01,5
stroke,emergency dept,Primary,2021-02-01,6
