Date,Category,Setting,Count
2018-03-01,obesity,ambulatory surgery,1
2018-04-01,obesity,ambulatory surgery,1
2018-06-01,obesity,ambulatory surgery,2
2018-08-01,obesity,ambulatory surgery,2
2018-10-01,obesity,ambulatory surgery,1
2018-11-01,obesity,ambulatory surgery,2
2019-03-01,obesity,ambulatory surgery,1
2019-05-01,obesity,ambulatory surgery,1
2019-07-01,obesity,ambulatory surgery,1
2019-08-01,obesity,ambulatory surgery,3
2019-09-01,obesity,ambulatory surgery,2
2019-12-01,obesity,ambulatory surgery,1
2020-01-01,obesity,ambulatory surgery,1
2020-02-01,obesity,ambulatory surgery,1
2020-03-01,obesity,ambulatory surgery,2
2020-05-01,obesity,ambulatory surgery,1
2020-06-01,obesity,ambulatory surgery,2
2020-07-01,obesity,ambulatory surgery,2
2020-10-01,obesity,ambulatory surgery,1
2020-12-01,obesity,ambulatory surgery,1
2021-01-01,obesity,ambulatory surgery,1
2021-02-01,obesity,ambulatory surgery,3
2021-04-01,obesity,ambulatory surgery,1
2021-05-01,obesity,ambulatory surgery,2
2021-06-01,obesity,ambulatory surgery,2
2021-07-01,obesity,ambulatory surgery,2
2021-10-01,obesity,ambulatory surgery,3
2018-04-01,pneumonia,ambulatory surgery,1
2020-01-01,pneumonia,ambulatory surgery,1
2020-04-01,pneumonia,ambulatory surgery,1
2020-06-01,pneumonia,ambulatory surgery,1
2021-01-01,pneumonia,ambulatory surgery,2
2021-02-01,pneumonia,ambulatory surgery,2
2021-06-01,pneumonia,ambulatory surgery,2
2018-02-01,respiratory arrest/failure,ambulatory surgery,1
2018-03-01,respiratory arrest/failure,ambulatory surgery,1
2018-04-01,respiratory arrest/failure,ambulatory surgery,2
2018-05-01,respiratory arrest/failure,ambulatory surgery,3
2018-06-01,respiratory arrest/failure,ambulatory surgery,1
2018-07-01,respiratory arrest/failure,ambulatory surgery,1
2018-08-01,respiratory arrest/failure,ambulatory surgery,1
2018-09-01,respiratory arrest/failure,ambulatory surgery,1
2018-11-01,respiratory arrest/failure,ambulatory surgery,1
2018-12-01,respiratory arrest/failure,ambulatory surgery,1
2019-01-01,respiratory arrest/failure,ambulatory surgery,2
2019-02-01,respiratory arrest/failure,ambulatory surgery,2
2019-03-01,respiratory arrest/failure,ambulatory surgery,1
2019-04-01,respiratory arrest/failure,ambulatory surgery,1
2019-05-01,respiratory arrest/failure,ambulatory surgery,1
2019-06-01,respiratory arrest/failure,ambulatory surgery,1
2019-07-01,respiratory arrest/failure,ambulatory surgery,1
2019-10-01,respiratory arrest/failure,ambulatory surgery,2
2020-01-01,respiratory arrest/failure,ambulatory surgery,1
2020-02-01,respiratory arrest/failure,ambulatory surgery,1
2020-03-01,respiratory arrest/failure,ambulatory surgery,1
2020-04-01,respiratory arrest/failure,ambulatory surgery,4
2020-07-01,respiratory arrest/failure,ambulatory surgery,1
2020-08-01,respiratory arrest/failure,ambulatory surgery,1
2020-10-01,respiratory arrest/failure,ambulatory surgery,3
2020-12-01,respiratory arrest/failure,ambulatory surgery,2
2021-01-01,respiratory arrest/failure,ambulatory surgery,3
2021-02-01,respiratory arrest/failure,ambulatory surgery,1
2021-03-01,respiratory arrest/failure,ambulatory surgery,3
2021-04-01,respiratory arrest/failure,ambulatory surgery,1
2021-05-01,respiratory arrest/failure,ambulatory surgery,2
2021-06-01,respiratory arrest/failure,ambulatory surgery,2
2021-07-01,respiratory arrest/failure,ambulatory surgery,2
2021-08-01,respiratory arrest/failure,ambulatory surgery,1
2021-09-01,respiratory arrest/failure,ambulatory surgery,1
2021-10-01,respiratory arrest/failure,ambulatory surgery,3
2021-11-01,respiratory arrest/failure,ambulatory surgery,2
2021-12-01,respiratory arrest/failure,ambulatory surgery,2
2018-05-01,sepsis,ambulatory surgery,1
2018-09-01,sepsis,ambulatory surgery,1
2018-12-01,sepsis,ambulatory surgery,1
2019-04-01,sepsis,ambulatory surgery,1
2019-05-01,sepsis,ambulatory surgery,1
2019-07-01,sepsis,ambulatory surgery,1
2019-08-01,sepsis,ambulatory surgery,1
2019-12-01,sepsis,ambulatory surgery,1
2020-01-01,sepsis,ambulatory surgery,1
2020-04-01,sepsis,ambulatory surgery,1
2020-07-01,sepsis,ambulatory surgery,1
2020-12-01,sepsis,ambulatory surgery,1
2021-01-01,sepsis,ambulatory surgery,1
2021-02-01,sepsis,ambulatory surgery,3
2021-06-01,sepsis,ambulatory surgery,1
2021-07-01,sepsis,ambulatory surgery,1
2021-08-01,sepsis,ambulatory surgery,1
2021-09-01,sepsis,ambulatory surgery,1
2021-12-01,sepsis,ambulatory surgery,1
2018-01-01,substance use disorders,ambulatory surgery,1
2018-02-01,substance use disorders,ambulatory surgery,1
2018-05-01,substance use disorders,ambulatory surgery,3
2018-06-01,substance use disorders,ambulatory surgery,1
2018-08-01,substance use disorders,ambulatory surgery,1
2018-09-01,substance use disorders,ambulatory surgery,1
2018-10-01,substance use disorders,ambulatory surgery,1
2018-12-01,substance use disorders,ambulatory surgery,1
2019-01-01,substance use disorders,ambulatory surgery,1
2019-02-01,substance use disorders,ambulatory surgery,1
2019-06-01,substance use disorders,ambulatory surgery,2
2019-08-01,substance use disorders,ambulatory surgery,1
2019-10-01,substance use disorders,ambulatory surgery,1
2019-11-01,substance use disorders,ambulatory surgery,1
2020-08-01,substance use disorders,ambulatory surgery,1
2020-10-01,substance use disorders,ambulatory surgery,1
2020-11-01,substance use disorders,ambulatory surgery,1
2021-02-01,substance use disorders,ambulatory surgery,3
2021-04-01,substance use disorders,ambulatory surgery,2
2021-05-01,substance use disorders,ambulatory surgery,1
2021-06-01,substance use disorders,ambulatory surgery,2
2021-11-01,substance use disorders,ambulatory surgery,1
2021-12-01,substance use disorders,ambulatory surgery,1
2019-09-01,unspecified mental disorders,ambulatory surgery,1
2018-01-01,anxiety,emergency dept,30
2018-02-01,anxiety,emergency dept,18
2018-03-01,anxiety,emergency dept,40
2018-04-01,anxiety,emergency dept,28
2018-05-01,anxiety,emergency dept,36
2018-06-01,anxiety,emergency dept,21
2018-07-01,anxiety,emergency dept,18
2018-08-01,anxiety,emergency dept,25
2018-09-01,anxiety,emergency dept,27
2018-10-01,anxiety,emergency dept,24
2018-11-01,anxiety,emergency dept,27
2018-12-01,anxiety,emergency dept,35
2019-01-01,anxiety,emergency dept,28
2019-02-01,anxiety,emergency dept,22
2019-03-01,anxiety,emergency dept,37
2019-04-01,anxiety,emergency dept,30
2019-05-01,anxiety,emergency dept,28
2019-06-01,anxiety,emergency dept,18
2019-07-01,anxiety,emergency dept,24
2019-08-01,anxiety,emergency dept,31
2019-09-01,anxiety,emergency dept,28
2019-10-01,anxiety,emergency dept,23
2019-11-01,anxiety,emergency dept,30
2019-12-01,anxiety,emergency dept,38
2020-01-01,anxiety,emergency dept,33
2020-02-01,anxiety,emergency dept,27
2020-03-01,anxiety,emergency dept,40
2020-04-01,anxiety,emergency dept,23
2020-05-01,anxiety,emergency dept,24
2020-06-01,anxiety,emergency dept,30
2020-07-01,anxiety,emergency dept,40
2020-08-01,anxiety,emergency dept,43
2020-09-01,anxiety,emergency dept,37
2020-10-01,anxiety,emergency dept,38
2020-11-01,anxiety,emergency dept,36
2020-12-01,anxiety,emergency dept,41
2021-01-01,anxiety,emergency dept,37
2021-02-01,anxiety,emergency dept,35
2021-03-01,anxiety,emergency dept,24
2021-04-01,anxiety,emergency dept,22
2021-05-01,anxiety,emergency dept,20
2021-06-01,anxiety,emergency dept,22
2021-07-01,anxiety,emergency dept,29
2021-08-01,anxiety,emergency dept,24
2021-09-01,anxiety,emergency dept,28
2021-10-01,anxiety,emergency dept,20
2021-11-01,anxiety,emergency dept,28
2021-12-01,anxiety,emergency dept,28
2018-01-01,asthma,emergency dept,51
2018-02-01,asthma,emergency dept,32
2018-03-01,asthma,emergency dept,41
2018-04-01,asthma,emergency dept,36
2018-05-01,asthma,emergency dept,27
2018-06-01,asthma,emergency dept,30
2018-07-01,asthma,emergency dept,28
2018-08-01,asthma,emergency dept,23
2018-09-01,asthma,emergency dept,22
2018-10-01,asthma,emergency dept,26
2018-11-01,asthma,emergency dept,34
2018-12-01,asthma,emergency dept,38
2019-01-01,asthma,emergency dept,40
2019-02-01,asthma,emergency dept,32
2019-03-01,asthma,emergency dept,43
2019-04-01,asthma,emergency dept,32
2019-05-01,asthma,emergency dept,24
2019-06-01,asthma,emergency dept,35
2019-07-01,asthma,emergency dept,34
2019-08-01,asthma,emergency dept,38
2019-09-01,asthma,emergency dept,17
2019-10-01,asthma,emergency dept,25
2019-11-01,asthma,emergency dept,29
2019-12-01,asthma,emergency dept,26
2020-01-01,asthma,emergency dept,38
2020-02-01,asthma,emergency dept,41
2020-03-01,asthma,emergency dept,44
2020-04-01,asthma,emergency dept,49
2020-05-01,asthma,emergency dept,37
2020-06-01,asthma,emergency dept,41
2020-07-01,asthma,emergency dept,65
2020-08-01,asthma,emergency dept,51
2020-09-01,asthma,emergency dept,27
2020-10-01,asthma,emergency dept,36
2020-11-01,asthma,emergency dept,35
2020-12-01,asthma,emergency dept,66
2021-01-01,asthma,emergency dept,71
2021-02-01,asthma,emergency dept,38
2021-03-01,asthma,emergency dept,31
2021-04-01,asthma,emergency dept,21
2021-05-01,asthma,emergency dept,38
2021-06-01,asthma,emergency dept,28
2021-07-01,asthma,emergency dept,29
2021-08-01,asthma,emergency dept,34
2021-09-01,asthma,emergency dept,41
2021-10-01,asthma,emergency dept,34
2021-11-01,asthma,emergency dept,45
2021-12-01,asthma,emergency dept,33
2018-02-01,behavioral syndromes,emergency dept,1
2018-04-01,behavioral syndromes,emergency dept,1
2018-05-01,behavioral syndromes,emergency dept,1
2018-09-01,behavioral syndromes,emergency dept,1
2019-02-01,behavioral syndromes,emergency dept,1
2019-03-01,behavioral syndromes,emergency dept,1
2019-05-01,behavioral syndromes,emergency dept,1
2019-07-01,behavioral syndromes,emergency dept,2
2020-01-01,behavioral syndromes,emergency dept,1
2020-04-01,behavioral syndromes,emergency dept,2
2020-06-01,behavioral syndromes,emergency dept,1
2021-01-01,behavioral syndromes,emergency dept,1
2021-07-01,behavioral syndromes,emergency dept,1
2021-08-01,behavioral syndromes,emergency dept,1
2021-09-01,behavioral syndromes,emergency dept,1
2021-10-01,behavioral syndromes,emergency dept,1
2018-01-01,cancer,emergency dept,100
2018-02-01,cancer,emergency dept,79
2018-03-01,cancer,emergency dept,97
2018-04-01,cancer,emergency dept,85
2018-05-01,cancer,emergency dept,103
2018-06-01,cancer,emergency dept,78
2018-07-01,cancer,emergency dept,84
2018-08-01,cancer,emergency dept,80
2018-09-01,cancer,emergency dept,75
2018-10-01,cancer,emergency dept,96
2018-11-01,cancer,emergency dept,89
2018-12-01,cancer,emergency dept,99
2019-01-01,cancer,emergency dept,121
2019-02-01,cancer,emergency dept,103
2019-03-01,cancer,emergency dept,92
2019-04-01,cancer,emergency dept,102
2019-05-01,cancer,emergency dept,103
2019-06-01,cancer,emergency dept,84
2019-07-01,cancer,emergency dept,90
2019-08-01,cancer,emergency dept,97
2019-09-01,cancer,emergency dept,96
2019-10-01,cancer,emergency dept,98
2019-11-01,cancer,emergency dept,87
2019-12-01,cancer,emergency dept,107
2020-01-01,cancer,emergency dept,113
2020-02-01,cancer,emergency dept,105
2020-03-01,cancer,emergency dept,125
2020-04-01,cancer,emergency dept,84
2020-05-01,cancer,emergency dept,87
2020-06-01,cancer,emergency dept,76
2020-07-01,cancer,emergency dept,97
2020-08-01,cancer,emergency dept,98
2020-09-01,cancer,emergency dept,72
2020-10-01,cancer,emergency dept,91
2020-11-01,cancer,emergency dept,119
2020-12-01,cancer,emergency dept,129
2021-01-01,cancer,emergency dept,114
2021-02-01,cancer,emergency dept,97
2021-03-01,cancer,emergency dept,90
2021-04-01,cancer,emergency dept,81
2021-05-01,cancer,emergency dept,89
2021-06-01,cancer,emergency dept,86
2021-07-01,cancer,emergency dept,111
2021-08-01,cancer,emergency dept,121
2021-09-01,cancer,emergency dept,86
2021-10-01,cancer,emergency dept,118
2021-11-01,cancer,emergency dept,102
2021-12-01,cancer,emergency dept,106
2018-01-01,cardiac arrest,emergency dept,1473
2018-02-01,cardiac arrest,emergency dept,1125
2018-03-01,cardiac arrest,emergency dept,1261
2018-04-01,cardiac arrest,emergency dept,1145
2018-05-01,cardiac arrest,emergency dept,1058
2018-06-01,cardiac arrest,emergency dept,1036
2018-07-01,cardiac arrest,emergency dept,1117
2018-08-01,cardiac arrest,emergency dept,1057
2018-09-01,cardiac arrest,emergency dept,1016
2018-10-01,cardiac arrest,emergency dept,1107
2018-11-01,cardiac arrest,emergency dept,1161
2018-12-01,cardiac arrest,emergency dept,1254
2019-01-01,cardiac arrest,emergency dept,1276
2019-02-01,cardiac arrest,emergency dept,1180
2019-03-01,cardiac arrest,emergency dept,1267
2019-04-01,cardiac arrest,emergency dept,1014
2019-05-01,cardiac arrest,emergency dept,1107
2019-06-01,cardiac arrest,emergency dept,1065
2019-07-01,cardiac arrest,emergency dept,991
2019-08-01,cardiac arrest,emergency dept,1000
2019-09-01,cardiac arrest,emergency dept,957
2019-10-01,cardiac arrest,emergency dept,1069
2019-11-01,cardiac arrest,emergency dept,1080
2019-12-01,cardiac arrest,emergency dept,1248
2020-01-01,cardiac arrest,emergency dept,1258
2020-02-01,cardiac arrest,emergency dept,1082
2020-03-01,cardiac arrest,emergency dept,1177
2020-04-01,cardiac arrest,emergency dept,1197
2020-05-01,cardiac arrest,emergency dept,1203
2020-06-01,cardiac arrest,emergency dept,1143
2020-07-01,cardiac arrest,emergency dept,1417
2020-08-01,cardiac arrest,emergency dept,1317
2020-09-01,cardiac arrest,emergency dept,1150
2020-10-01,cardiac arrest,emergency dept,1235
2020-11-01,cardiac arrest,emergency dept,1323
2020-12-01,cardiac arrest,emergency dept,1950
2021-01-01,cardiac arrest,emergency dept,1874
2021-02-01,cardiac arrest,emergency dept,1290
2021-03-01,cardiac arrest,emergency dept,1247
2021-04-01,cardiac arrest,emergency dept,1064
2021-05-01,cardiac arrest,emergency dept,1047
2021-06-01,cardiac arrest,emergency dept,1043
2021-07-01,cardiac arrest,emergency dept,1113
2021-08-01,cardiac arrest,emergency dept,1261
2021-09-01,cardiac arrest,emergency dept,1169
2021-10-01,cardiac arrest,emergency dept,1245
2021-11-01,cardiac arrest,emergency dept,1155
2021-12-01,cardiac arrest,emergency dept,1357
2018-01-01,chronic obstructive pulmonary disease (copd),emergency dept,151
2018-02-01,chronic obstructive pulmonary disease (copd),emergency dept,120
2018-03-01,chronic obstructive pulmonary disease (copd),emergency dept,119
2018-04-01,chronic obstructive pulmonary disease (copd),emergency dept,112
2018-05-01,chronic obstructive pulmonary disease (copd),emergency dept,91
2018-06-01,chronic obstructive pulmonary disease (copd),emergency dept,85
2018-07-01,chronic obstructive pulmonary disease (copd),emergency dept,90
2018-08-01,chronic obstructive pulmonary disease (copd),emergency dept,89
2018-09-01,chronic obstructive pulmonary disease (copd),emergency dept,80
2018-10-01,chronic obstructive pulmonary disease (copd),emergency dept,85
2018-11-01,chronic obstructive pulmonary disease (copd),emergency dept,107
2018-12-01,chronic obstructive pulmonary disease (copd),emergency dept,121
2019-01-01,chronic obstructive pulmonary disease (copd),emergency dept,106
2019-02-01,chronic obstructive pulmonary disease (copd),emergency dept,111
2019-03-01,chronic obstructive pulmonary disease (copd),emergency dept,125
2019-04-01,chronic obstructive pulmonary disease (copd),emergency dept,113
2019-05-01,chronic obstructive pulmonary disease (copd),emergency dept,88
2019-06-01,chronic obstructive pulmonary disease (copd),emergency dept,87
2019-07-01,chronic obstructive pulmonary disease (copd),emergency dept,78
2019-08-01,chronic obstructive pulmonary disease (copd),emergency dept,80
2019-09-01,chronic obstructive pulmonary disease (copd),emergency dept,84
2019-10-01,chronic obstructive pulmonary disease (copd),emergency dept,78
2019-11-01,chronic obstructive pulmonary disease (copd),emergency dept,97
2019-12-01,chronic obstructive pulmonary disease (copd),emergency dept,110
2020-01-01,chronic obstructive pulmonary disease (copd),emergency dept,108
2020-02-01,chronic obstructive pulmonary disease (copd),emergency dept,85
2020-03-01,chronic obstructive pulmonary disease (copd),emergency dept,114
2020-04-01,chronic obstructive pulmonary disease (copd),emergency dept,114
2020-05-01,chronic obstructive pulmonary disease (copd),emergency dept,111
2020-06-01,chronic obstructive pulmonary disease (copd),emergency dept,99
